query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
12,vanilla,How many U.S. jobs would the Paris deal affect according to Trump?,Millions of jobs,"Based on the provided documents, none of them explicitly state how many U.S. jobs the Paris climate agreement would affect according to President Donald Trump. Therefore, we cannot ascertain an exact number from these sources. However, it is implied that there were some discussions and considerations around this matter during the decision-making process about withdrawing from the deal.",0,0.4
13,vanilla,What was the reaction of Goldman Sachs CEO to Paris withdrawal?,Called it a setback for environment,"According to Document ID 0012, Lloyd Blankfein, the Chief Executive Officer of Goldman Sachs Group Inc, criticized the United States' decision to leave the Paris climate deal in his first message on Twitter Inc since joining the platform.",0,0.0
14,vanilla,What did Macron say to Trump about the Paris accord?,Said Paris accord cannot be renegotiated,"Based on the documents, President Emmanuel Macron of France told U.S. President Donald Trump that the Paris climate deal could not be renegotiated. He also made it clear that while France would continue to work with Washington, there was no room for adjusting or redoing the agreement.",0,0.95
15,vanilla,When did Flynn decline the Senate subpoena?,"May 22, 2017","Former White House national security adviser Michael Flynn declined to comply with a subpoena from the Senate Intelligence Committee on Monday, as mentioned in Document ID: 0193.",0,0.5
16,vanilla,What was the size of the arms deal with Saudi Arabia?,$110 billion,"Based on the given documents, there isn't specific information about the exact size or value of the U.S.-Saudi arms deal. However, it is implied to be significant enough for lawmakers to introduce legislation attempting to halt a portion of President Trump's sale of weapons to Saudi Arabia and cause concern in Israel regarding its potential impact on regional security.",0,0.4
17,vanilla,How did Turkey respond to US after the Washington street brawl?,Summoned US ambassador,"Turkey responded by summoning the U.S ambassador to protest the treatment of Turkish security officials in the United States during President Erdogan's visit. This action was taken after Turkish security forces were involved in a violent response to a street protest in Washington, D.C.",0,1.0
18,vanilla,What did Putin say about election interference?,Russians might have acted independently,"Based on the documents provided, there is no specific statement from Putin directly addressing his views or comments about election interference. However, one of the documents (Doc ID: 0724) mentions that Russian President Vladimir Putin was approached by a reporter and asked about Comey's firing in relation to Russia. His response was seen as dismissive, stating he would be ""off to play hockey with my fans.""",0,0.6
19,vanilla,What were the terms of U.S. commitment in Paris agreement?,26-28% emissions reduction by 2025,"The documents do not provide specific details about the terms of the United States' commitment to the Paris Agreement. However, they indicate that several leaders expressed disappointment over President Trump's decision to withdraw from the agreement but also maintained their support for it. For example, France's ambassador stated that the deal does not infringe on U.S. sovereignty and German Chancellor Angela Merkel described it as an ""essential"" pact. Former President Obama expressed his confidence that the United States would continue to move in the right direction regarding climate change, despite the withdrawal from the Paris Agreement.",0,0.0
20,vanilla,How much would EPA budget be cut under Trump's proposal?,31 percent reduction,"Based on the retrieved documents, it is not explicitly stated how much the Environmental Protection Agency (EPA) budget would specifically be reduced in President Donald Trump's proposed budget. However, one document mentions that there are stiff EPA budget cuts planned and another indicates a buyout program to reduce staff at the EPA as part of budget measures. Furthermore, there is an indication of $3.6 trillion in government spending cuts over ten years, but it's not clear how much of this would directly impact the EPA budget. Therefore, without specific figures from these documents, a precise amount for the proposed EPA budget cut cannot be determined.",0,0.5
21,vanilla,What did McMaster say about Trump's NATO stance?,President supports Article 5,"Based on the documents, U.S. National Security Adviser H.R. McMaster stated that President Donald Trump supports NATO's mutual defense doctrine, despite not explicitly stating it during a particular event (Doc ID: 0091). He further indicated that Trump was clear about his commitment to defending Europe and had been blunt on spending demands related to the alliance (Doc ID: 0117). Finally, a senior White House official confirmed that President Trump stands united with other NATO countries in defending all members of the Western military alliance (Doc ID: 0129).",0,0.85
22,vanilla,When was Comey scheduled to testify before Senate?,June 8,"Former FBI Director James Comey was scheduled to testify before the U.S. Senate on June 8 as part of its investigation into alleged Russian interference in the 2016 election, according to document with ID: 00399. However, there's also a mention that he would be testifying next Thursday from another document (Doc ID: 0000), but without specific dates provided for these documents.",1,0.6
23,vanilla,What was China's stance after U.S. left Paris agreement?,Committed to continue implementation,"Based on the given documents, there is no specific information available regarding China's stance following the United States' withdrawal from the Paris Agreement. The provided documents discuss reactions from various global leaders and institutions but do not provide details about China's response. Further research would be needed to find out China's particular reaction or policy changes after this event.",0,0.5
24,vanilla,How did Rex Tillerson respond to Manchester intelligence leaks?,US takes full responsibility,"Rex Tillerson, as Secretary of State, took full responsibility for the leaks related to the British police investigation into the Manchester bombing incident that killed 22 people. He stated this during an interview with Chuck Todd where he also firmly held his ground in response to some of Todd's challenging questions.",0,0.9
25,vanilla,What happened to Kathy Griffin after Trump photo controversy?,CNN terminated her contract,"Kathy Griffin faced several consequences following her controversial photo with a bloodied, decapitated mask of President Trump. Firstly, she was publicly criticized by both President Trump himself and his family members, including Barron Trump, who were upset over the graphic image. In addition to this, Kathy Griffin's professional career suffered major setbacks as a result. She lost her hosting job for CNN's New Year's Eve program due to strong public backlash and intense pressure on the network. Furthermore, she received negative responses from First Lady Melania Trump, adding another layer of controversy to the situation.",0,0.5
26,vanilla,What did Vatican officials say about Paris agreement withdrawal?,Called it a disaster for everyone,"Vatican officials expressed strong opposition to the U.S. decision to exit the Paris climate change deal, viewing it as a ""slap in the face."" They regarded this move as not just detrimental but also catastrophic for everyone involved. The Vatican's stance is part of their broader support under Pope Francis for international efforts against climate change.",0,0.8
27,vanilla,How many Americans were being held in North Korea?,Four Americans,"Based on the provided documents, there is no specific information available about how many Americans are being held in North Korea.",0,0.0
28,vanilla,What did Trump tell Middle East leaders about Iran?,Must stop funding terrorists and militias,"President Donald Trump told Middle East leaders to unite and do their share in defeating Islamist extremists, urging them to ""drive out"" terrorists from their regions. This message was conveyed during his visit to Riyadh where he made an impassioned plea to the Arab and Islamic leaders.",0,0.6
29,vanilla,What changes did Trump propose to Medicaid?,$800 billion in cuts,"President Donald Trump's budget proposal includes cuts to Medicaid, according to the document with Doc ID: 0221 titled ""Medicaid cuts coming in Trump budget"" from The Washington Post. Additionally, he proposed changes to other assistance programs for low-income citizens as mentioned in the document with Doc ID: 0160 titled ""Trump budget cuts may stir backlash in rural America.""

However, the exact specifications or details of these proposed changes are not provided within the documents available.",0,0.8
30,vanilla,How did Merkel describe the Paris climate accord?,Called it essential,"Merkel described the Paris climate accord as an ""essential"" pact. She expressed her happiness that many other governments shared this perspective.",0,0.0
31,vanilla,What was Trump's response to North Korea missile tests?,All options are on table,"According to the document (Doc ID: 0686), in response to North Korea's latest missile launch, which they claimed tested the capability of carrying a large scale heavy nuclear warhead under Kim Jong Un’s supervision, there isn't an explicit statement from Trump on this specific event. However, President Donald Trump has previously indicated openness towards meeting with Kim Jong Un ""under the right circumstances"" (Doc ID: 0532) and emphasized that China could do more to push North Korea to curb its nuclear program (Doc ID: 0514).",0,0.7
32,vanilla,What did James Comey document about Trump meetings?,Trump asked to end Flynn investigation,"James Comey documented his interactions with President Trump, including their conversations before Comey's dismissal from his role as FBI Director. There was also an indication that some of these interactions may have been recorded by President Trump. However, it is unclear from the documents if there are any existing recordings or memos specifically about meetings between James Comey and Donald Trump himself.",0,0.4
33,vanilla,What did Turkish President Erdogan's bodyguards do in DC?,Attacked protesters,"Turkey summoned the U.S ambassador on Monday to protest against the treatment of their security officials during a visit by President Tayyip Erdogan, which indicates that there was an incident involving Turkish security officials in DC (as per Doc ID: 0202).",0,0.75
34,vanilla,How many votes were needed to pass healthcare reform?,50 votes plus Vice President,"Based on the available documents, there is no specific information about how many votes are needed to pass healthcare reform. However, it can be inferred that President Trump was struggling to attract enough votes for his healthcare overhaul bill at a certain time (Doc ID:0498). Additionally, one document mentions that Republicans were still lacking the necessary votes to pass a healthcare reform bill at another point in time (Doc ID: 0511).",0,0.2
35,vanilla,What happened to Trump's travel ban in court?,Fourth Circuit Court blocked it,"The U.S. appeals court refused to reinstate President Donald Trump's temporary travel ban, which targeted people from six Muslim-majority nations. The court deemed it discriminatory in nature. Despite this decision, legal challenges continued and the case eventually headed towards a Supreme Court showdown.",0,0.8
36,vanilla,What did former CIA chief Brennan say about Russia?,Saw evidence warranting investigation,"Former CIA Director John Brennan expressed concerns about contacts between American citizens and Russian officials during the 2016 U.S. election, which led him to believe that there was enough interaction for potential recruitment efforts by Russia. He also noted that his worries increased as he noticed interactions between associates of Donald Trump's presidential campaign and Russia during the same election. Moreover, Brennan mentioned a situation where Obama started spying on Trump after a joke about Russia releasing Hillary Clinton's lost emails was made publicly.",0,0.5
37,vanilla,How much was the U.S. trade deficit with Germany?,Massive deficit according to Trump,"Based on the provided documents, there is no specific information about the exact amount of the U.S. trade deficit with Germany. The documents mention Trump's desire for a higher level of bilateral commerce but a lower U.S. trade deficit and criticisms over Germany’s trade policies without specifying numbers or amounts.",0,0.0
38,vanilla,What did Trump say about NATO members' spending?,Not paying fair share,"According to the retrieved documents, President Donald Trump repeatedly criticized NATO allies for not contributing enough towards defense spending. He expressed his discontent through various actions such as directly scolding them during their meetings, warning about further attacks like the Manchester one, and questioning why they didn't use funds to pay more into the alliance.",0,0.95
39,vanilla,What changes were proposed to food stamp program?,$200 billion reduction,"The documents do not provide specific details about the proposed changes to the food stamp program under Trump's budget proposal. However, there is mention of President Trump reintroducing welfare-to-work requirements which were removed during Obama's presidency and reforming the food stamp system that could potentially involve similar measures.",0,0.5
40,vanilla,What was the response to Kushner's back-channel proposal?,Raised serious concerns,"The response to Kushner's back-channel proposal varied among individuals. Former NH Governor John Sununu expressed his disappointment during an interview with Alison Camerota, where he criticized her for not hearing what she wanted to. On a political level, congressional language created challenges for Trump and his deputies by shifting the issue from Congress to the Department of Homeland Security's decision-making authority.",0,0.4
41,vanilla,How many FBI agents did Comey say Trump requested?,Loyalty pledge request documented,"Based on the given documents, there is no specific number mentioned regarding how many FBI agents former FBI Director James Comey said President Donald Trump had requested. However, it is stated that Comey sought additional funding and personnel for the probe into alleged Russian interference in the 2016 presidential election just days before he was fired.",0,0.5
42,vanilla,What happened at Trump's meeting with Pope Francis?,Discussed climate change and peace,"At their first meeting, Pope Francis urged U.S. President Donald Trump to be a peacemaker, following a period of sharp exchanged words between them. This event occurred just days after they met with Italian workers where Pope Francis gave an unexpected message. Despite facing trouble back home and ending his nine-day overseas journey in dramatic fashion by addressing U.S. troops at a campaign rally, Trump had arrived in Sicily from Brussels on the day of the meeting ahead of a Group of Seven summit where he was expected to face pressure from other leaders.",0,0.35
43,vanilla,What did Palestinian leaders say about Trump's visit?,Hoped for useful meeting,"The documents do not contain specific statements from Palestinian leaders regarding President Trump's visit. They focus mainly on Trump's own views, such as his support for Palestinian self-determination (Doc ID: 0353) and his intention to broker peace between Israel and the Palestinians without introducing new policies (Doc ID: 0480). However, it is implied that Trump's visit was significant enough to be discussed by both Israeli Prime Minister Benjamin Netanyahu and Palestinian President Mahmoud Abbas in separate meetings (Doc ID: 0214).",0,0.5
44,vanilla,How many countries signed the Paris climate agreement?,195 nations,"The specific number of countries that have signed the Paris climate agreement is not mentioned in the provided documents. However, it's known from external sources that initially, 195 members of the United Nations Framework Convention on Climate Change (UNFCCC) adopted the Paris Agreement at COP21 in December 2015, making it a near-universal agreement with many signatories.",0,0.9
45,vanilla,What was the U.S. contribution to NATO before Trump?,22% of budget,"Based on the retrieved documents, there is no direct information about the U.S. contribution to NATO prior to President Trump's tenure. However, it can be inferred from Document ID: 0106 that during his presidency, Trump has focused on urging NATO allies to increase their defense spending and warned of potential attacks like the Manchester bombing.",0,0.2
46,vanilla,What did Saudi Arabia say about Qatar?,Disputed Qatar claims,"Based on the provided documents, there is no specific information regarding what Saudi Arabia said about Qatar. The documents focus mainly on President Trump's visit to Saudi Arabia, discussions with Gulf Arab leaders, a historic speech in Riyadh, and an arms deal between the United States and Saudi Arabia.",0,0.0
47,vanilla,How many missiles did North Korea test?,Multiple tests in 2017,"The specific document (Doc ID: 0686) mentions that North Korea conducted a newly developed mid-to-long range missile test, but it does not specify the number of missiles tested. Therefore, we cannot determine from these documents how many missiles were tested by North Korea.",0,0.0
48,vanilla,What was Trump's stance on China currency manipulation?,No longer calling China currency manipulator,The provided documents do not contain information regarding President Trump's stance on China currency manipulation.,0,0.0
49,vanilla,What did Sessions say about Russian meetings?,Did not recall specific conversations,"The given documents do not contain information specifically regarding what Session's said about Russian meetings. However, it is indicated that there was an investigation into potential contacts between officials in Donald Trump’s presidential campaign and Russia. The White House stated there was no evidence of collusion with Russians by the Trump team.",0,0.65
50,vanilla,How many executive orders did Trump sign in first 100 days?,More than 30,"Based on the available information from the documents, it is not possible to determine exactly how many executive orders President Donald Trump signed during his first 100 days in office. However, two such actions are mentioned: broadening the scope of immigration arrests and upgrading government cyber defenses.",0,0.5
51,vanilla,What did Ivanka Trump say about Paris agreement?,Remained silent publicly,"Based on the given documents, there is no available information regarding what Ivanka Trump specifically said or thought about the Paris Agreement. The documents focus primarily on discussions among political leaders like Angela Merkel of Germany, Justin Trudeau of Canada and Theresa May of Britain in response to President Trump's decision.",0,0.5
52,vanilla,How many jobs would be lost due to EPA cuts?,"5,263 jobs","Based on the provided documents, it is not explicitly stated how many jobs would be lost due to the Environmental Protection Agency (EPA) budget cuts under President Trump's administration. The only related information mentioned is that a buyout program will be offered to some employees as part of these cuts. For more specific details on job loss numbers, additional sources or documents might be required.",0,0.5
53,vanilla,What was GOP response to healthcare bill analysis?,Expressed serious concerns,"The given documents don't provide specific information about the Republican lawmakers' reactions or responses to the analysis of the healthcare bill. However, it can be inferred that there was some internal discord among Republicans during the crafting process (Doc ID: 0488). Despite this, a version of the bill was eventually approved by the House on Thursday (Doc ID: 0465), and later changes were made to secure more support from Republican lawmakers (Doc ID: 0492).",0,0.7
54,vanilla,What did Trump say about Middle East peace?,Harder than expected,"Based on the retrieved documents, President Donald Trump expressed his commitment to broker peace between Israel and Palestine during his visit to Washington. He also mentioned that he was prepared to personally invest effort into Middle East peace if Israeli and Palestinian leaders decided to do so (Doc ID: 0480). Additionally, he urged regional leaders to work together for peace after his trip to Saudi Arabia (Doc ID: 0211), and said that shared concern about Iran was driving Israel and many Arab states closer. He demanded that Tehran immediately cease its military efforts (Doc ID: 0200). Finally, Israeli Prime Minister Benjamin Netanyahu hoped Trump's visit would serve as a milestone for regional peace (Doc ID: 0212).",0,0.0
55,vanilla,How much would State Department budget be cut?,29% reduction,"Based on the given documents, it is not possible to determine an exact amount for the proposed reduction in the State Department's budget as none of the retrieved documents specify this information. However, they do indicate that significant cuts are being considered within various areas related to foreign aid and diplomacy, including military grants, countering violent extremism programs, and foreign aid spending in Mexico and Central America.",0,0.0
56,vanilla,What did NSA director say about Trump request?,Never felt pressured,"The document titled ""U.S. intel chief declines comment on any Trump request about Russia"" (Doc ID: 0179) states that U.S. Director of National Intelligence Dan Coats did not provide a response regarding whether President Donald Trump had asked him to help deny any collusion between his campaign team and Russia.",0,0.0
57,vanilla,What was the voter turnout in Iranian election?,73% turnout,"Based on the given documents, it is not possible to determine the exact voter turnout for the Iranian elections as no information about that specific detail is mentioned within these sources. However, they do discuss various political topics related to Iran's interactions with foreign powers like the US and economic decisions following their nuclear deal.",0,0.5
58,vanilla,How did Wall Street react to Comey firing?,Markets dropped briefly,"The provided documents do not contain information regarding how Wall Street reacted to James Comey's dismissal from his position as FBI Director. The focus of these documents is more on the political implications and reactions following Comey's firing rather than specific financial market responses. For detailed insights into Wall Street's reaction, additional sources would need to be consulted.",0,0.5
59,vanilla,What did U.N. say about Syria chemical attack?,Confirmed chemical weapons use,"The provided documents do not contain information regarding the UN's response to a specific chemical attack in Syria. However, related content includes President Trump urging Russia during a meeting with their foreign minister Sergei Lavrov to ""rein in"" Syrian President Bashar al-Assad following reports of a suspected poison gas attack on April 4.",0,0.5
60,vanilla,What was Israel's response to arms deal with Saudis?,Expressed muted concern,"According to the document titled ""Israeli minister expresses concern over U.S.-Saudi arms deal"" (Doc ID: 0215), Israel expressed muted concern regarding the major arms deal between the United States and Saudi Arabia announced during U.S. President's visit to the region.",1,1.0
61,vanilla,How many refugees did Trump want to admit?,"50,000 maximum","Based on the given documents, there is no direct information available about how many refugees President Trump specifically wanted to admit. The context of the Rush Limbaugh document suggests that he was concerned about the high number of refugees being admitted during his tenure, but it does not specify a particular figure.",0,0.0
62,vanilla,What did Mattis say about NATO commitment?,Fully committed,"Based on the documents, there is no information specifically mentioning what Mattis said about NATO's commitment. However, other officials such as Secretary-General Jens Stoltenberg, U.S. National Security Adviser H.R. McMaster and a senior White House official have all affirmed President Trump's clear commitment to defending Europe and supporting the collective defense clause of NATO.",0,0.65
63,vanilla,What was turnout at Trump's inauguration?,Lower than Obama's,The provided documents do not contain information about the turnout at President Trump's inauguration.,0,0.5
64,vanilla,How did South Korea react to THAAD deployment?,Supported deployment,"The provided documents do not contain information about how South Korea reacted to the THAAD (Terminal High Altitude Area Defense) missile system deployment. To address this query, additional resources or documents regarding South Korea's stance on the THAAD deployment would be required.",0,0.35
65,vanilla,What did Flynn say about immunity?,Sought immunity,"Based on the provided documents, there is no specific information regarding what former Trump adviser Michael Flynn said about immunity. The documents discuss his compromising situation with Russia, warnings from Yates, and his agreement to turn over some subpoenaed documents. However, they do not mention any statements made by Flynn pertaining to immunity.",0,0.0
66,vanilla,How many countries were in travel ban?,Six countries,"Based on the provided documents, President Trump's temporary travel bans initially covered seven countries (as mentioned in Doc ID: 0105) before being revised to include people from some Muslim-majority countries more broadly (as mentioned in Doc IDs: 0326 and 0451).

However, the exact number of countries involved is not specified across these documents. For a precise count, you may need additional information or sources that specifically list all the countries under the travel ban at different stages.",0,0.0
67,vanilla,What was Deutsche Bank's role in Trump investigation?,Asked for Trump records,"According to the information gathered from the given documents, U.S. House Democrats requested Deutsche Bank to provide details if any of President Donald Trump’s accounts have connections with Russian individuals or entities as part of an investigation into possible ties between Russia and Trump's 2016 campaign. This indicates that Deutsche Bank was asked for information regarding the financial aspects related to this investigation.",0,0.0
68,vanilla,How did Canada respond to lumber tariffs?,Called tariffs unfair,"The provided documents do not contain specific information regarding Canada's response to lumber tariffs. For an accurate answer, further research is needed beyond these document snippets.",0,0.5
69,vanilla,What did Yates testify about Flynn?,Warned about compromise,"Former Acting U.S. Attorney General Sally Yates testified that she had warned the White House in January that then-National Security Adviser Michael Flynn was compromised, indicating he may have been blackmailed by Russia for his actions as a Trump campaign adviser and early member of President Donald Trump's administration.",0,1.0
70,vanilla,What was Trump's tax plan outline?,15% corporate tax rate,"Based on the retrieved documents, it is not entirely clear what specific details were outlined in President Donald Trump's tax plan as none of these documents specifically elaborate this point. However, it was stated that Secretary Steven Mnuchin had doubts about alternate scoring models giving enough credit to the potential benefits of Trump's tax proposal (Doc ID: 0252). Furthermore, there were discussions regarding using a federal gasoline tax increase as a means of funding infrastructure development, which could potentially be tied to Trump's broader economic strategy (Doc ID: 0533).",0,0.2
71,vanilla,How many Trump tweets mentioned Russia investigation?,More than 100,"Based on the provided documents, there is no specific information available regarding the number of President Donald Trump's tweets mentioning the Russia investigation. The documents focus more on his public statements and actions related to the probe rather than his social media activity. To accurately determine the number of such tweets, one would need a comprehensive dataset or access to Twitter API filtering for relevant keywords.",0,0.5
72,vanilla,What did British PM say about Manchester leaks?,Unacceptable leaks,"British Prime Minister Theresa May stated that despite the U.S. disclosures, the UK's government has confidence in its relationship with the United States and will continue to share intelligence with Britain. This information is from the document titled ""After Trump disclosures, UK's May says will continue to share intel with U.S."" (Doc ID: 0307).",0,0.25
73,vanilla,What was voter fraud commission's purpose?,Investigate voter fraud claims,"The primary aim of Trump's Voter Fraud Commission, as per Document ID: 0376, is to investigate allegations of voter fraud and suppression in U.S elections. This move was spurred by President Trump's unsubstantiated claims regarding these issues.",0,0.0
74,vanilla,How did Mexico respond to wall payment?,Refused to pay,"Based on the information in the document with Doc ID: 0174, President Donald Trump requested $1.6 billion from Congress for the construction of the border wall between the U.S. and Mexico. This amount was significantly lower than what might be required to complete such a project.",0,0.3
75,vanilla,What did Susan Rice say about unmasking?,Denies improper unmasking,"Based on Document ID: 0544, it is mentioned that Susan Rice was involved in 'unmasking' key Obama Administration Officials. However, the document does not provide specific details about what she said regarding this matter.",0,0.5
76,vanilla,How many Syrian refugees were admitted?,Less than previous year,"Based on the provided documents, there is no specific information available regarding the number of Syrian refugees that were admitted.",0,0.0
77,vanilla,What did Spicer say about Hitler comparison?,Apologized for comparison,"Based on the given documents, there is no information regarding Sean Spicer making any comparisons to Hitler. The provided excerpts discuss various interactions involving President Trump, Spicer's press briefings, interviews with Judge Jeanine Pirro and Lou Dobbs, but none of these touch upon a comparison between Hitler and anything else.",0,0.0
78,vanilla,How did China respond to North Korea sanctions?,Called for dialogue,"The documents do not specifically detail how China has responded to North Korea sanctions. However, one document mentions that President Trump's nominee for U.S. ambassador to China stated that China can do more to push North Korea to curb its nuclear program (Doc ID: 0514). This suggests that the expectation is placed on China to play a larger role in sanctioning or pressuring North Korea, although it doesn't explicitly mention their actions taken so far.",0,0.5
79,vanilla,What was Trump's response to Syria strike?,Ordered missile strike,"President Donald Trump engaged with Russia during his meeting with Sergei Lavrov, the Russian Foreign Minister, urging them to ""rein in"" Syrian President Bashar al-Assad as part of the response to the U.S. air strikes on Syria. Additionally, he also discussed a ceasefire plan for Syria with Russia during talks with Vladimir Putin after the tension from the April U.S. air strikes against Russian ally Syria.",0,0.3
80,vanilla,How many staff members left White House?,Multiple resignations,"Based on the given documents, two staff members from President Donald Trump's team have been mentioned leaving the White House - the communications director and chief of staff Reince Priebus. However, it is important to note that the exact number may not be complete as these are only a few instances mentioned in the retrieved documents.",0,0.8
81,vanilla,What did Tillerson say about climate change?,Takes no position,"According to Doc ID: 0479 titled ""U.S. needs to balance foreign alliances: Tillerson,"" Rex Tillerson, the U.S. Secretary of State at that time, outlined an ""America First"" agenda for foreign policy during a meeting with his staff. However, the document does not provide specific information about what Tillerson said regarding climate change.",0,0.0
82,vanilla,How many countries supported Paris agreement?,195 countries,"Based on Document ID 0027, German Chancellor Angela Merkel stated that she was pleased with the fact that many other governments took the same view as Germany did in supporting the Paris climate accord. However, the exact number of countries is not mentioned in these documents provided.",0,0.25
83,vanilla,What was Paul Ryan's healthcare stance?,Support with changes,"Based on the provided documents, U.S. House Speaker Paul Ryan urged health insurance companies to ""stick it out"" in the Obamacare marketplace despite concerns over its stability (Doc ID: 0153). He also did not specify a timing for voting on a Republican plan to undo former President Barack Obama's healthcare law, but indicated that House leaders would vote eventually (Doc ID: 0512).",0,0.7
84,vanilla,How did Iran respond to Trump's speech?,Called it hostile,"According to Document ID: 0217 titled ""Iran foreign minister scorns Trump after speech, arms deal,"" Iranian Foreign Minister Mohammad Javad Zarif criticized U.S. President Donald Trump for securing an arms deal and other investments worth hundreds of billions of dollars.",0,0.0
85,vanilla,What was unemployment rate under Trump?,4.4 percent,"Based on the retrieved documents, there is no specific information about the exact unemployment rate under President Donald Trump. However, the documents indicate that his administration had plans to boost economic growth by fostering capital investment and creating jobs (Doc ID: 0175), suggesting efforts towards reducing unemployment. For precise figures on the unemployment rate during his tenure, further research or additional documents would be necessary.",0,0.0
86,vanilla,How did EU respond to steel tariffs?,Threatened retaliation,"The given documents do not contain information regarding how the European Union (EU) responded to the imposition of steel tariffs. The queries related to climate change deals, trade discussions with the U.S., and security assurances are covered in these documents but there is no mention or discussion about the EU's reaction to steel tariffs.",0,0.0
